ID,gender,ugpa,lsat,grad,fulltime,fam_inc,law_school_tier,race,pass_bar,bar_passed_attempt,birth_year
2,female,3.5,44,yes,yes,5,4,white,yes,first attempt,1969
3,female,3.5,29,yes,yes,4,2,white,yes,first attempt,1969
36,male,3.5,36,yes,yes,1,3,white,yes,first attempt,1965
52,male,3.5,39,yes,yes,4,3,white,yes,first attempt,1958
55,male,3.5,48,yes,yes,4,5,white,yes,first attempt,1968
72,female,3.5,40,yes,yes,4,3,white,yes,first attempt,1968
74,female,3.5,34,yes,yes,3,3,white,yes,first attempt,1969
89,male,3.5,40,yes,no,2,3,white,yes,first attempt,1955
109,male,3.5,40,yes,yes,4,5,white,yes,first attempt,1968
143,female,3.5,28,yes,yes,2,1,hisp,no,no pass,1969
144,female,3.5,33,yes,yes,4,2,white,no,no pass,1967
146,female,3.5,36,yes,yes,3,4,white,yes,first attempt,1969
158,male,3.5,34,yes,yes,NA,3,white,yes,first attempt,1969
160,female,3.5,31,yes,yes,2,3,white,yes,first attempt,1969
174,male,3.5,42,yes,yes,3,4,white,yes,first attempt,1968
202,female,3.5,34,yes,yes,4,3,white,yes,first attempt,1970
208,male,3.5,39,yes,yes,4,5,asian,yes,first attempt,1969
213,female,3.5,33,yes,yes,4,5,white,yes,second attempt,1969
231,female,3.5,44,yes,yes,3,4,white,yes,first attempt,1961
268,female,3.5,39,yes,yes,3,3,white,yes,first attempt,1961
269,female,3.5,32,yes,yes,3,3,white,yes,first attempt,1969
319,female,3.5,30,yes,yes,3,3,white,yes,first attempt,1969
326,female,3.5,36,yes,yes,3,4,white,yes,first attempt,1966
328,female,3.5,38,yes,yes,3,3,white,yes,first attempt,1968
337,male,3.5,35,yes,yes,4,3,white,yes,first attempt,1968
350,female,3.5,31,yes,yes,3,2,white,yes,first attempt,1966
377,male,3.5,47,yes,yes,4,6,white,yes,first attempt,1969
381,female,3.5,40,yes,yes,4,3,white,yes,first attempt,1969
388,female,3.5,30,yes,yes,3,2,white,yes,second attempt,1968
389,male,3.5,34,yes,yes,3,3,white,yes,first attempt,1951
392,male,3.5,39,yes,yes,3,4,white,yes,first attempt,1956
393,male,3.5,48,yes,yes,3,6,white,yes,first attempt,1970
401,male,3.5,37,yes,yes,1,4,white,yes,first attempt,1968
410,female,3.5,39,yes,yes,2,4,white,yes,first attempt,1969
445,female,3.5,33,yes,yes,3,3,white,yes,first attempt,1969
462,male,3.5,45,yes,yes,4,4,white,yes,first attempt,1967
478,female,3.5,36,yes,yes,4,3,white,yes,first attempt,1965
482,male,3.5,44,yes,yes,4,5,white,yes,first attempt,1967
485,male,3.5,30.5,yes,yes,4,3,white,yes,first attempt,1969
491,male,3.5,40,yes,yes,3,4,white,yes,first attempt,1955
493,female,3.5,48,yes,yes,4,5,white,yes,first attempt,1969
536,female,3.5,39,yes,yes,3,5,white,yes,first attempt,1958
580,female,3.5,31,yes,no,3,3,white,yes,first attempt,1954
586,male,3.5,33.5,yes,yes,4,5,white,yes,first attempt,1969
599,female,3.5,31,yes,yes,3,3,white,yes,first attempt,1968
602,male,3.5,32,yes,yes,4,3,white,yes,first attempt,1969
610,male,3.5,38,yes,yes,3,5,white,yes,first attempt,1966
626,female,3.5,30,yes,yes,4,3,white,yes,first attempt,1969
634,male,3.5,37,yes,yes,4,3,white,yes,first attempt,1968
642,female,3.5,32,yes,yes,4,5,white,yes,first attempt,1967
647,female,3.5,34,yes,yes,3,5,white,yes,first attempt,1966
657,male,3.5,35,yes,yes,4,4,white,yes,first attempt,1965
692,female,3.5,44,yes,yes,4,3,white,yes,first attempt,1967
694,male,3.5,30.5,yes,yes,NA,5,white,yes,first attempt,1967
726,female,3.5,32,yes,yes,3,4,white,yes,second attempt,1961
727,female,3.5,37,yes,yes,4,4,white,yes,first attempt,1970
735,female,3.5,28,yes,yes,4,3,white,yes,first attempt,1968
744,male,3.5,39,yes,yes,3,4,white,yes,first attempt,1966
793,male,3.5,35,yes,yes,4,2,white,yes,first attempt,1966
795,female,3.5,37,yes,yes,4,5,black,yes,first attempt,1970
807,male,3.5,46,yes,yes,4,6,white,yes,first attempt,1967
812,male,3.5,39,yes,yes,4,5,white,yes,first attempt,1966
823,male,3.5,33,yes,yes,3,2,white,no,no pass,1969
842,female,3.5,43,yes,yes,3,4,white,yes,first attempt,1951
847,female,3.5,34,yes,yes,4,3,white,yes,first attempt,1969
862,female,3.5,33,yes,yes,3,3,white,yes,first attempt,1968
879,female,3.5,43,yes,yes,4,3,white,yes,first attempt,1962
888,female,3.5,41,yes,yes,3,6,white,yes,first attempt,1966
894,female,3.5,40,yes,yes,3,3,white,yes,first attempt,1964
918,female,3.5,33,yes,yes,2,3,white,yes,first attempt,1961
920,male,3.5,35,yes,yes,3,2,white,yes,first attempt,1967
967,female,3.5,42,yes,yes,1,4,white,yes,first attempt,1968
1006,male,3.5,36,yes,yes,2,4,asian,yes,first attempt,1965
1018,female,3.5,46,yes,yes,4,5,white,yes,first attempt,1954
1054,female,3.5,38,yes,yes,3,3,white,yes,first attempt,1968
1081,female,3.5,36,yes,yes,4,3,white,yes,first attempt,1969
1091,male,3.5,35,yes,yes,3,2,white,yes,second attempt,1968
1143,male,3.5,37,yes,yes,3,3,white,yes,first attempt,1966
1145,female,3.5,37.7,yes,yes,3,4,white,yes,first attempt,1962
